customer_id,first_name,last_name,gender,birth_year,loyalty_tier,home_suburb,signup_date
C00041,David,Buthelezi,F,1965,Bronze,Boksburg,2025-02-08
C00042,Andile,Khan,M,1988,Bronze,Berea,2023-03-21
C00043,Sibusiso,Maseko,F,1976,Bronze,Parow,2023-06-04
C00044,Nokuthula,Radebe,M,2000,Bronze,Menlyn,2024-07-09
C00045,Michael,Moyo,F,1981,Silver,Walmer,2023-01-21
C00046,Mandisa,Mkhize,F,1955,Bronze,Soweto,2025-05-23
C00047,Khanyisile,Moyo,M,2002,Bronze,Edenvale,2024-05-14
C00048,Nokuthula,Khan,F,1956,Bronze,Fourways,2025-01-11
C00049,Refilwe,van Wyk,M,1994,Silver,Westville,2024-07-31
C00050,Tumelo,Dlamini,F,1982,Bronze,Khayelitsha,2023-09-24
C00051,Sarah,Tshabalala,F,1975,Silver,Brooklyn,2025-02-09
C00052,Khanyisile,Moyo,F,1960,Silver,Khayelitsha,2023-12-25
C00053,Nokuthula,Ndlovu,M,,Bronze,Roodepoort,2023-07-24
C00054,Khanyisile,Dlamini,M,1970,Bronze,Richards Bay Central,2023-08-12
C00055,Michael,Patel,M,1965,Gold,Mitchell's Plain,2023-06-17
C00056,Ayanda,Sithole,M,1974,Silver,Soweto,2024-02-11
C00057,Sibusiso,Pretorius,F,1999,Bronze,Walmer,2025-03-02
C00058,Ayanda,Sibiya,M,2005,Silver,Randburg,2024-06-29
C00059,David,Mhlongo,F,1996,Silver,Hayfields,2023-04-19
C00060,David,Mhlongo,M,1984,Bronze,Chatsworth,2024-10-28
C00061,Busisiwe,Ngcobo,M,1989,Bronze,Westville,2023-10-02
C00062,Johan,Pillay,M,1960,Bronze,Pinetown,2024-08-06
C00063,Kabelo,Radebe,F,1986,Bronze,Sandton,2023-12-30
C00064,Bontle,Patel,F,1993,Bronze,Sea Point,2024-06-13
C00065,Palesa,Mabaso,F,1981,Silver,Walmer,2024-05-02
C00066,Mosa,Coetzee,F,1956,Bronze,Walmer,2023-09-07
C00067,Ayanda,Zwane,F,1990,Bronze,Ballito,2023-12-05
C00068,Anika,van Wyk,F,1971,Silver,Centurion,2023-05-03
C00069,Olwethu,Nyathi,,1999,Bronze,Umhlanga,2023-10-11
C00070,Vuyo,Zwane,,1988,Gold,Midrand,2024-01-05
C00071,Mandla,Mthembu,F,1989,Bronze,Khayelitsha,2024-07-20
C00072,Mpho,Mahlangu,M,2003,Silver,Richards Bay Central,2023-10-19
C00073,Priya,du Plessis,F,1966,Bronze,Umhlanga,2023-04-27
C00074,Dineo,Ndlovu,F,1959,Bronze,Bellville,2023-06-02
C00075,Bontle,Mkhize,M,1960,Bronze,Wonderpark,2024-09-12
C00076,Nthabiseng,Ngcobo,F,1988,Silver,Krugersdorp,2025-05-30
C00077,Lesedi,Smith,F,1994,Gold,Paarl Central,2025-01-15
C00078,Thandiwe,Naidoo,F,1960,Bronze,Constantia,2023-06-10
C00079,Thabo,Moyo,F,1993,Bronze,Alberton,2024-12-24
C00080,Mpho,van Wyk,F,1969,Silver,Mthatha Central,2024-08-26
C00081,Tumelo,Pretorius,F,1989,Bronze,Brooklyn,2025-04-26
C00082,Themba,Ndlovu,F,2005,Silver,Richards Bay Central,2023-10-23
C00083,Rachel,Zulu,F,1974,Gold,Phoenix,2024-03-24
C00084,Tshepo,Sibiya,F,1982,Bronze,Claremont,2023-04-04
C00085,Nokuthula,Mkhize,M,1956,Bronze,Brooklyn,2024-08-13
C00086,Sipho,van der Merwe,F,1996,Bronze,Westville,2024-03-22
C00087,Thandiwe,Coetzee,,1985,Bronze,Beacon Bay,2023-04-18
C00088,Mandisa,Botha,F,1999,Bronze,Fourways,2025-04-13
C00089,Lehlogonolo,Buthelezi,F,1960,Bronze,Fourways,2025-06-04
C00090,Aisha,Nkosi,M,1989,Bronze,Chatsworth,2024-01-06
C00091,Kabelo,Coetzee,M,2003,Bronze,Parow,2023-10-22
C00092,Rachel,Coetzee,F,1995,Bronze,Tygervalley,2023-11-15
C00093,Yusuf,Nkosi,M,1960,Silver,Mitchell's Plain,2024-04-17
C00094,Bongani,Mokwena,F,2000,Silver,Wonderpark,2025-05-04
C00095,Priya,du Plessis,F,1990,Bronze,Berea,2024-06-04
C00096,Olwethu,Mahlangu,M,1972,Silver,Menlyn,2025-03-17
C00097,Aisha,Khan,M,1973,Silver,Westville,2024-11-06
C00098,Rajesh,Mokwena,F,1985,Bronze,PMB Central,2024-01-22
C00099,Michael,Tshabalala,M,1999,Bronze,Wonderpark,2023-02-14
C00100,Johan,du Plessis,M,1979,Bronze,Vincent,2023-06-05
C00101,Rajesh,Mokoena,F,1992,Bronze,Berea,2023-04-13
C00102,Fatima,van Wyk,F,1964,Bronze,Bellville,2023-03-18
C00103,Priya,Patel,F,1999,Bronze,Menlyn,2025-05-22
C00104,Lungile,Nyathi,F,1975,Silver,Hayfields,2025-06-12
C00105,Ibrahim,Mokoena,M,1970,Gold,Edenvale,2024-03-20
C00106,Lindiwe,Sithole,F,1999,Bronze,Centurion,2025-03-26
C00107,Nomvula,Maseko,F,1982,Bronze,Richards Bay Central,2024-11-29
C00108,Karabo,van der Merwe,F,1960,Bronze,Greenacres,2023-09-04
C00109,Rajesh,Zwane,F,1984,Bronze,Beacon Bay,2023-01-10
C00110,Bontle,van Wyk,M,1998,Bronze,Randburg,2024-08-24
C00111,Ayanda,Smith,M,1984,Bronze,Soweto,2025-05-23
C00112,Priya,Sithole,F,1991,Bronze,Walmer,2023-10-30
C00113,Lerato,Sibanda,F,1991,Silver,Khayelitsha,2024-09-12
C00114,Olwethu,Coetzee,M,1973,Bronze,Randburg,2023-08-13
C00115,Thandiwe,Pretorius,M,1998,Silver,Greenacres,2025-05-08
C00116,Naledi,Sithole,M,,Silver,CBD,2024-08-16
C00117,Marius,Mahlangu,F,1973,Bronze,Midrand,2023-05-16
C00118,Karabo,Nyathi,M,1978,Silver,Tygervalley,2023-09-21
C00119,Dineo,du Plessis,,1973,Bronze,Mitchell's Plain,2024-04-24
C00120,Zanele,Mokwena,M,1969,Silver,Fourways,2025-05-16
C00121,Bontle,Buthelezi,F,2005,Bronze,Mitchell's Plain,2024-04-10
C00122,Marius,Patel,M,1995,Bronze,Edenvale,2024-04-27
C00123,Lerato,Ngcobo,M,1990,Bronze,Vincent,2023-03-06
C00124,Thandiwe,van Wyk,M,1974,Bronze,CBD,2023-02-08
C00125,Ayanda,Coetzee,F,1970,Bronze,Pinetown,2024-01-15
C00126,Tumelo,Nyathi,F,2002,Silver,Vincent,2023-04-12
C00127,Khanyisile,Coetzee,M,,Bronze,Berea,2024-03-31
C00128,Andile,Mhlongo,F,1998,Silver,Vincent,2024-01-03
C00129,Nomvula,Sibanda,F,1962,Silver,Stellenbosch Central,2024-11-09
C00130,Sizwe,Sibiya,,1958,Bronze,Parow,2025-03-16
C00131,Kgomotso,Naidoo,F,2003,Bronze,Edenvale,2023-12-03
C00132,Refiloe,Mokwena,M,,Silver,Bellville,2023-05-14
C00133,Ibrahim,Patel,M,1962,Bronze,Sea Point,2024-01-02
C00134,Karabo,Pillay,M,1956,Bronze,Wonderpark,2024-06-22
C00135,Bongani,Ndlovu,F,2004,Bronze,Berea,2024-05-30
C00136,Nokuthula,Ngcobo,F,2005,Bronze,Krugersdorp,2024-04-14
C00137,Mosa,Dlamini,F,1985,Bronze,Paarl Central,2024-05-17
C00138,Sibusiso,Jones,F,1960,Bronze,Parow,2023-10-09
C00139,Kabelo,Zwane,M,1975,Bronze,Alberton,2024-04-09
C00140,Aisha,Sibiya,F,2005,Silver,Vincent,2025-06-17
C00141,Refiloe,Buthelezi,M,1968,Silver,Wonderpark,2023-12-14
C00142,Dineo,van Wyk,F,2001,Bronze,Beacon Bay,2023-09-19
C00143,Marius,Mokwena,M,1985,Silver,Stellenbosch Central,2024-03-18
C00144,Lindiwe,Mhlongo,M,1990,Gold,Ballito,2023-05-06
C00145,Emma,Cele,M,2003,Silver,Khayelitsha,2023-10-22
C00146,Nthabiseng,Mthembu,F,1991,Bronze,Umhlanga,2023-08-18
C00147,Mandisa,Sithole,F,1990,Silver,Richards Bay Central,2023-08-20
C00148,Bontle,Smith,M,2004,Bronze,Vincent,2024-07-24
C00149,Lerato,Sibiya,M,1999,Bronze,Walmer,2025-02-19
C00150,Ayanda,Mabena,F,1966,Bronze,Fourways,2023-03-13
C00151,Themba,Dlamini,F,1988,Bronze,Menlyn,2023-06-11
C00152,Marius,Mthembu,M,2004,Bronze,Khayelitsha,2023-06-09
C00153,Refilwe,Ngcobo,F,1960,Bronze,Hayfields,2024-09-13
C00154,Rachel,Moyo,F,2003,Bronze,Mitchell's Plain,2023-10-18
C00155,Lungile,Zwane,F,1997,Bronze,Berea,2023-02-26
C00156,Thabo,Naidoo,F,1968,Silver,Alberton,2023-12-02
C00157,Bongani,Nkosi,F,1982,Bronze,Edenvale,2024-05-27
C00158,Yusuf,Cele,F,,Bronze,Constantia,2025-06-01
C00159,Johan,Mkhize,F,1980,Bronze,Mitchell's Plain,2024-02-19
C00160,Lerato,Tshabalala,F,1994,Bronze,Hatfield,2023-04-01
C00161,David,Sithole,F,1992,Bronze,Krugersdorp,2025-02-02
C00162,Pieter,Govender,F,1965,Bronze,Chatsworth,2024-06-06
C00163,Palesa,Cele,F,1996,Bronze,Bellville,2023-09-20
C00164,Palesa,van der Merwe,M,2003,Bronze,Mthatha Central,2024-05-20
C00165,Michael,Mkhize,M,1983,Silver,Vincent,2024-10-12
C00166,Kabelo,Tshabalala,M,1995,Bronze,Umhlanga,2024-03-28
C00167,Thandiwe,Mthembu,M,1992,Bronze,Krugersdorp,2024-04-17
C00168,Rachel,Mokoena,F,1973,Silver,Stellenbosch Central,2024-09-21
C00169,Nthabiseng,Joseph,F,1992,Silver,CBD,2024-04-05
C00170,Bontle,Mkhize,M,1975,Bronze,Khayelitsha,2024-04-06
C00171,Lindiwe,Mabena,,1960,Bronze,Roodepoort,2024-12-25
C00172,Rachel,Jones,M,1994,Bronze,Alberton,2024-02-01
C00173,Emma,Mabena,M,1958,Bronze,Constantia,2023-12-04
C00174,Lindiwe,Buthelezi,M,1973,Silver,Berea,2025-06-13
C00175,Themba,Mabena,F,1997,Bronze,Vincent,2024-12-16
C00176,Tumelo,Sibanda,F,2000,Bronze,Soweto,2024-10-20
C00177,Karabo,Mabena,M,1997,Gold,Greenacres,2024-11-17
C00178,Mosa,Smith,M,1956,Bronze,Sandton,2023-12-16
C00179,Refiloe,Coetzee,F,1963,Bronze,Paarl Central,2024-06-03
C00180,Refiloe,Nyathi,M,,Bronze,Pinetown,2023-05-15
C00181,Nthabiseng,Radebe,F,1966,Silver,Tygervalley,2025-01-08
C00182,Rachel,Mokoena,F,1998,Gold,Pinetown,2024-04-04
C00183,Nokuthula,Nyathi,F,2005,Silver,Hatfield,2024-11-25
C00184,Kgomotso,Jones,F,1973,Bronze,Wonderpark,2023-06-15
C00185,Dineo,Pretorius,M,1963,Bronze,Umhlanga,2025-06-14
C00186,Marius,Buthelezi,M,2000,Silver,Alberton,2023-03-27
C00187,Lehlogonolo,Botha,F,1987,Bronze,Edenvale,2025-04-16
C00188,Rachel,Cele,M,1981,Bronze,Roodepoort,2024-01-31
C00189,Tshepo,Mhlongo,F,1975,Silver,Vincent,2023-12-10
C00190,Karabo,Mokwena,F,1973,Bronze,Parow,2025-02-16
C00191,Sibusiso,du Plessis,F,1955,Bronze,Sandton,2025-05-05
C00192,Themba,Buthelezi,M,1993,Bronze,Alberton,2023-09-01
C00193,Ayanda,Zulu,F,1981,Bronze,Constantia,2023-04-24
C00194,Khanyisile,Coetzee,M,1956,Bronze,Bellville,2023-10-26
C00195,David,Nkosi,M,1970,Bronze,Beacon Bay,2023-03-29
C00196,Fatima,Mhlongo,F,1988,Silver,Phoenix,2024-07-21
C00197,Lerato,Radebe,M,1957,Gold,Boksburg,2024-01-01
C00198,Karabo,Ndlovu,F,2001,Bronze,Westville,2025-01-22
C00199,Lehlogonolo,Mabena,F,1977,Silver,George Central,2025-04-30
C00200,Refiloe,van Wyk,,1985,Silver,Constantia,2025-01-03
C00201,Refiloe,van Wyk,F,,Bronze,CBD,2023-11-20
C00202,Ayanda,Joseph,F,1989,Bronze,Vincent,2023-07-15
C00203,Mpho,Cele,M,1958,Bronze,Mitchell's Plain,2025-03-29
C00204,Marius,Smith,M,2002,Gold,Menlyn,2025-06-12
C00205,Nokwanda,Coetzee,F,1988,Bronze,Rosebank,2023-03-22
C00206,David,Sibiya,,1966,Bronze,Stellenbosch Central,2023-12-02
C00207,Tumelo,Maseko,F,1993,Bronze,Berea,2023-12-26
C00208,Rachel,Mokoena,M,1977,Bronze,Mthatha Central,2025-03-21
C00209,Nomvula,Ndlovu,M,1980,Silver,Greenacres,2023-06-13
C00210,Lerato,Mokwena,M,1998,Bronze,Constantia,2023-08-30
C00211,Refiloe,Mhlongo,F,,Bronze,Berea,2024-01-15
C00212,Marius,Jones,M,1991,Bronze,Centurion,2024-10-27
C00213,Busisiwe,Pillay,,1956,Bronze,Soweto,2024-07-29
C00214,Bongani,Patel,M,2000,Gold,Alberton,2024-05-17
C00215,Palesa,Zulu,F,1959,Silver,Berea,2023-03-31
C00216,Bontle,Tshabalala,M,2000,Bronze,Krugersdorp,2025-05-21
C00217,Refilwe,van der Merwe,M,1987,Gold,Parow,2024-05-20
C00218,Lerato,Mhlongo,M,1978,Gold,Parow,2023-03-30
C00219,Zanele,Mthembu,F,2000,Bronze,Wonderpark,2025-04-23
C00220,Kgomotso,Ndlovu,F,1975,Bronze,Greenacres,2024-06-13
C00221,Anika,Mahlangu,M,2004,Bronze,Parow,2024-03-19
C00222,Aisha,Khumalo,M,1988,Bronze,Centurion,2024-12-27
C00223,Nokuthula,Cele,M,1988,Silver,Boksburg,2023-07-21
C00224,Thandiwe,Buthelezi,F,1995,Bronze,Phoenix,2024-10-18
C00225,Refilwe,Zwane,M,1964,Bronze,Berea,2023-12-12
C00226,Khanyisile,Mkhize,F,1956,Gold,Richards Bay Central,2023-08-04
C00227,Refiloe,Mkhize,F,,Silver,PMB Central,2023-10-24
C00228,Mosa,Mthembu,F,1998,Bronze,Walmer,2023-03-03
C00229,Refilwe,Jones,F,1984,Bronze,Centurion,2025-06-01
C00230,Sibusiso,Tshabalala,M,1977,Bronze,Hatfield,2024-06-11
C00231,Yusuf,Sithole,F,1984,Bronze,Bellville,2023-04-10
C00232,Nomvula,Maseko,M,1994,Gold,Tygervalley,2024-08-14
C00233,Vuyo,Tshabalala,F,1965,Bronze,Hayfields,2025-06-19
C00234,Ayanda,Coetzee,F,1980,Gold,Sandton,2023-02-19
C00235,Nomvula,Maseko,F,1996,Bronze,Sea Point,2025-05-17
C00236,Lindiwe,Smith,F,1971,Silver,Hatfield,2023-02-16
C00237,James,Khumalo,M,1967,Bronze,Soweto,2024-05-31
C00238,Rachel,Buthelezi,F,1994,Bronze,Paarl Central,2024-02-08
C00239,Marius,Mabena,M,1978,Bronze,Phoenix,2024-02-16
C00240,Aisha,Mokoena,F,1963,Silver,Chatsworth,2024-04-12
C00241,Themba,Sibiya,M,1963,Bronze,Tygervalley,2024-02-07
C00242,Kabelo,Mthembu,M,1987,Bronze,Richards Bay Central,2023-11-03
C00243,Priya,Dlamini,F,1998,Bronze,Krugersdorp,2025-03-26
C00244,Vuyo,Dlamini,M,1971,Silver,Westville,2024-08-14
C00245,Nokuthula,Khumalo,M,1965,Silver,Soweto,2023-06-01
C00246,Dineo,Pillay,F,1999,Bronze,Centurion,2024-03-04
C00247,Themba,Moyo,M,1981,Bronze,Umhlanga,2025-06-12
C00248,Mandisa,Khumalo,M,1988,Bronze,Beacon Bay,2024-05-04
C00249,Fatima,Radebe,F,1966,Bronze,PMB Central,2023-12-29
C00250,Lungile,Patel,M,1967,Bronze,Krugersdorp,2023-08-19
C00251,Ayanda,Maseko,M,1999,Bronze,Randburg,2024-07-27
C00252,Karabo,Khan,F,1991,Bronze,Fourways,2025-04-18
C00253,Anika,Mokwena,F,1973,Bronze,Berea,2024-11-02
C00254,Kagiso,du Plessis,F,1989,Bronze,Brooklyn,2023-05-21
C00255,Lindiwe,Ngcobo,M,1970,Bronze,Chatsworth,2023-08-20
C00256,Thandiwe,Govender,F,1981,Bronze,Greenacres,2025-02-28
C00257,Naledi,Nkosi,,1965,Gold,Umhlanga,2023-07-24
C00258,Lehlogonolo,Maseko,F,1996,Silver,Vincent,2024-08-10
C00259,Nokuthula,Nyathi,M,1957,Bronze,George Central,2023-02-07
C00260,Khanyisile,Sibanda,M,1966,Gold,Alberton,2023-01-10
C00261,Ayanda,Mkhize,M,1976,Gold,PMB Central,2023-05-18
C00262,Mandisa,Joseph,F,1967,Bronze,Pinetown,2024-10-25
C00263,Kagiso,van der Merwe,F,1976,Bronze,Midrand,2023-06-29
C00264,Kabelo,Sibanda,M,1987,Bronze,Paarl Central,2023-07-09
C00265,Naledi,du Plessis,F,,Bronze,Berea,2025-02-10
C00266,Busisiwe,Mabena,F,2001,Bronze,Hatfield,2024-12-10
C00267,Andile,Khumalo,M,1984,Bronze,Phoenix,2025-06-28
C00268,Sibusiso,Mthembu,M,1995,Bronze,Pinetown,2023-08-15
C00269,Nokuthula,Mahlangu,F,1984,Bronze,Wonderpark,2024-12-19
C00270,Yusuf,du Plessis,M,1997,Silver,Greenacres,2025-02-11
C00271,Nthabiseng,Mabaso,M,1988,Bronze,Richards Bay Central,2023-04-25
C00272,Nomvula,Buthelezi,M,1967,Bronze,Centurion,2025-05-24
C00273,Fatima,Jones,F,1968,Bronze,Phoenix,2024-04-01
C00274,Bontle,Khumalo,F,1987,Bronze,Ballito,2024-04-18
C00275,Lungile,Mthembu,M,1980,Bronze,Sandton,2024-08-15
C00276,Zanele,Mokoena,F,1999,Gold,Constantia,2025-05-30
C00277,Sipho,Maseko,F,2004,Bronze,Vincent,2024-03-06
C00278,Marius,Radebe,F,1979,Bronze,Beacon Bay,2025-06-14
C00279,Ibrahim,Mahlangu,M,1977,Gold,Fourways,2023-08-17
C00280,Khanyisile,Nkosi,M,1974,Silver,Rosebank,2024-06-28
C00281,Sarah,Govender,F,1977,Bronze,Mitchell's Plain,2023-02-02
C00282,Bontle,Moyo,M,1956,Bronze,Berea,2023-02-04
C00283,Rachel,Sibiya,M,1958,Bronze,Berea,2023-08-28
C00284,Ibrahim,Naidoo,M,2004,Bronze,Alberton,2023-08-28
C00285,Dineo,Mkhize,F,1993,Silver,Roodepoort,2023-11-06
C00286,Themba,Adams,F,1974,Bronze,Westville,2025-06-19
C00287,Olwethu,van der Merwe,M,1982,Bronze,Randburg,2024-10-20
C00288,Tumelo,Radebe,M,1975,Bronze,Krugersdorp,2024-01-21
C00289,Mandla,Nyathi,F,1969,Silver,Pinetown,2023-03-01
C00290,Yusuf,Moyo,,1990,Bronze,Boksburg,2023-07-28
C00291,Pieter,Mabaso,M,1978,Silver,Midrand,2023-02-22
C00292,Busisiwe,Radebe,M,,Bronze,Westville,2025-01-11
C00293,Tumelo,Buthelezi,F,1968,Bronze,Sea Point,2023-08-05
C00294,Palesa,Zulu,M,2003,Bronze,Berea,2024-12-21
C00295,Sizwe,Sibanda,M,1990,Bronze,Pinetown,2024-06-30
C00296,Mosa,Cele,F,1978,Bronze,Paarl Central,2025-04-02
C00297,Vuyo,du Plessis,M,1975,Bronze,Wonderpark,2023-02-16
C00298,Kgomotso,Govender,M,1956,Gold,Westville,2023-10-30
C00299,Themba,Pretorius,F,1979,Bronze,Ballito,2024-11-01
C00300,Lungile,Mabena,F,1986,Bronze,Hayfields,2024-04-16
C00301,Refilwe,Cele,F,2001,Bronze,PMB Central,2024-10-19
C00302,Nomvula,Adams,F,1959,Bronze,Sea Point,2024-02-27
C00303,Naledi,Govender,F,,Bronze,Hatfield,2023-03-03
C00304,Kabelo,Ngcobo,M,1997,Bronze,Ballito,2024-02-26
C00305,Thabo,Dlamini,M,1972,Bronze,Phoenix,2025-04-12
C00306,Nokwanda,Smith,M,1966,Bronze,Bellville,2023-09-04
C00307,Palesa,Ngcobo,M,1977,Bronze,Hatfield,2024-02-20
C00308,Michael,Mkhize,F,1999,Bronze,Stellenbosch Central,2024-10-31
C00309,Mandisa,Mokoena,F,1979,Bronze,Mthatha Central,2023-01-10
C00310,Nokwanda,Botha,F,1982,Bronze,Paarl Central,2024-06-24
C00311,Sipho,Govender,F,1999,Bronze,CBD,2023-03-18
C00312,Lungile,Khan,M,1991,Bronze,Centurion,2023-01-17
C00313,Sizwe,Zwane,F,2000,Gold,Krugersdorp,2023-09-04
C00314,Kgomotso,Radebe,M,1989,Silver,Parow,2025-03-20
C00315,Nokwanda,Mabaso,M,1977,Bronze,Constantia,2023-12-15
C00316,Nthabiseng,Ngcobo,,1980,Bronze,Mthatha Central,2023-10-07
C00317,Karabo,Jones,F,1977,Bronze,George Central,2024-11-27
C00318,Lesedi,Radebe,F,1994,Bronze,Constantia,2023-03-26
C00319,Busisiwe,Mokwena,F,2005,Silver,Centurion,2024-01-05
C00320,Lindiwe,Mabaso,F,1974,Silver,Paarl Central,2023-05-16
C00321,Tshepo,van der Merwe,F,1990,Bronze,Claremont,2023-04-02
C00322,Anika,Buthelezi,F,1993,Silver,Sea Point,2023-10-26
C00323,Emma,Radebe,M,2001,Silver,Roodepoort,2024-08-08
C00324,Fatima,Botha,M,1965,Bronze,Hayfields,2023-05-30
C00325,Zanele,Botha,F,1981,Silver,Hatfield,2023-09-15
C00326,Andile,Coetzee,M,1967,Bronze,Sea Point,2024-02-10
C00327,Pieter,Ngcobo,F,1976,Bronze,Vincent,2024-08-31
C00328,Naledi,Mthembu,F,1999,Bronze,Fourways,2023-11-23
C00329,Mpho,Coetzee,,2005,Bronze,Fourways,2024-01-09
C00330,Bongani,Mkhize,F,1989,Silver,Claremont,2025-01-14
C00331,Michael,Naidoo,F,1973,Bronze,Wonderpark,2024-11-20
C00332,Rajesh,Mahlangu,M,1970,Bronze,Rosebank,2025-03-19
C00333,Sarah,Ndlovu,F,1993,Bronze,Phoenix,2025-06-09
C00334,Nokwanda,Moyo,M,2005,Silver,PMB Central,2024-08-31
C00335,Thandiwe,Mabaso,F,1970,Bronze,Vincent,2024-09-19
C00336,Sipho,Mkhize,,1998,Gold,Menlyn,2025-05-09
C00337,Lindiwe,Nkosi,F,1969,Bronze,Westville,2024-12-05
C00338,Kgomotso,Govender,F,1980,Bronze,Walmer,2024-05-27
C00339,Themba,Cele,,1985,Bronze,Stellenbosch Central,2023-04-29
C00340,Khanyisile,Mokwena,F,1976,Bronze,Umhlanga,2023-12-23
C00341,Priya,Sithole,F,1999,Bronze,CBD,2025-04-09
C00342,Sibusiso,Zulu,F,1976,Bronze,Tygervalley,2025-01-28
C00343,Andile,Adams,F,1965,Bronze,Pinetown,2023-08-26
C00344,Bontle,Sibanda,M,1966,Bronze,Claremont,2025-01-25
C00345,Kabelo,Pretorius,F,1982,Silver,Sandton,2023-10-13
C00346,Lehlogonolo,Ndlovu,M,1989,Bronze,Pinetown,2023-04-27
C00347,Kagiso,Coetzee,M,1995,Bronze,Fourways,2024-08-24
C00348,Bongani,Cele,F,1984,Silver,Krugersdorp,2024-09-21
C00349,Lesedi,Mabaso,M,1975,Bronze,George Central,2024-01-18
C00350,Nokwanda,Mokwena,M,1981,Bronze,Rosebank,2023-07-10
C00351,Rajesh,Nyathi,M,1996,Bronze,Tygervalley,2024-05-16
C00352,Mpho,Mahlangu,F,1983,Silver,Sea Point,2024-05-11
C00353,Naledi,Pretorius,M,1990,Bronze,Greenacres,2024-05-18
C00354,Emma,Jones,F,1960,Silver,Edenvale,2023-10-27
C00355,Sipho,Khan,F,1973,Bronze,Hayfields,2024-07-16
C00356,Aisha,Zulu,M,1972,Silver,Hatfield,2024-07-09
C00357,Dineo,Mokoena,M,1983,Gold,Paarl Central,2023-09-11
C00358,Ayanda,Mokoena,F,1977,Bronze,Mitchell's Plain,2025-03-05
C00359,Bontle,Pillay,F,2002,Bronze,Pinetown,2024-10-09
C00360,David,Botha,M,2005,Bronze,Khayelitsha,2024-08-06
C00361,Anika,Nyathi,F,1989,Gold,Alberton,2023-10-01
C00362,Mandisa,Joseph,,1998,Bronze,Wonderpark,2023-03-02
C00363,Busisiwe,Mahlangu,M,1963,Silver,Roodepoort,2025-02-18
C00364,Khanyisile,Sibanda,F,1991,Bronze,Soweto,2024-04-07
C00365,Zanele,Mabaso,F,2002,Gold,Hatfield,2024-05-14
C00366,Johan,Zwane,F,2004,Bronze,Pinetown,2024-10-12
C00367,Tumelo,Cele,M,2005,Bronze,Rosebank,2025-04-24
C00368,Sizwe,Coetzee,F,1973,Bronze,Richards Bay Central,2025-05-22
